dataset,block_index,block_start_date,block_end_date,n_interactions,n_rows_prefilter,role
Amazon-Movies,35,2003-09-02,2003-10-31,5191,5191,train
Amazon-Movies,36,2003-11-01,2003-12-30,6030,6030,train
Amazon-Movies,37,2003-12-31,2004-02-28,7253,7253,train
Amazon-Movies,38,2004-02-29,2004-04-28,6625,6625,train
Amazon-Movies,39,2004-04-29,2004-06-27,7238,7238,train
Amazon-Movies,40,2004-06-28,2004-08-26,7679,7679,train
Amazon-Movies,41,2004-08-27,2004-10-25,7217,7217,train
Amazon-Movies,42,2004-10-26,2004-12-24,7660,7660,train
Amazon-Movies,43,2004-12-25,2005-02-22,8518,8518,train
Amazon-Movies,44,2005-02-23,2005-04-23,8363,8363,train
Amazon-Movies,45,2005-04-24,2005-06-22,8287,8287,train
Amazon-Movies,46,2005-06-23,2005-08-21,9542,9542,train
Amazon-Movies,47,2005-08-22,2005-10-20,9077,9077,train
Amazon-Movies,48,2005-10-21,2005-12-19,7961,7961,train
Amazon-Movies,49,2005-12-20,2006-02-17,8921,8921,train
Amazon-Movies,50,2006-02-18,2006-04-18,8966,8966,train
Amazon-Movies,51,2006-04-19,2006-06-17,7836,7836,train
Amazon-Movies,52,2006-06-18,2006-08-16,8396,8396,train
Amazon-Movies,53,2006-08-17,2006-10-15,6805,6805,train
Amazon-Movies,54,2006-10-16,2006-12-14,7084,7084,train
Amazon-Movies,55,2006-12-15,2007-02-12,10591,10591,train
Amazon-Movies,56,2007-02-13,2007-04-13,10102,10102,train
Amazon-Movies,57,2007-04-14,2007-06-12,9393,9393,train
Amazon-Movies,58,2007-06-13,2007-08-11,9667,9667,train
Amazon-Movies,59,2007-08-12,2007-10-10,9540,9540,train
Amazon-Movies,60,2007-10-11,2007-12-09,9133,9133,train
Amazon-Movies,61,2007-12-10,2008-02-07,10972,10972,train
Amazon-Movies,62,2008-02-08,2008-04-07,11205,11205,train
Amazon-Movies,63,2008-04-08,2008-06-06,10281,10281,train
Amazon-Movies,64,2008-06-07,2008-08-05,11022,11022,train
Amazon-Movies,65,2008-08-06,2008-10-04,10188,10188,train
Amazon-Movies,66,2008-10-05,2008-12-03,10302,10302,train
Amazon-Movies,67,2008-12-04,2009-02-01,12894,12894,train
Amazon-Movies,68,2009-02-02,2009-04-02,11987,11987,train
Amazon-Movies,69,2009-04-03,2009-06-01,11735,11735,train
Amazon-Movies,70,2009-06-02,2009-07-31,11474,11474,train
Amazon-Movies,71,2009-08-01,2009-09-29,11085,11085,train
Amazon-Movies,72,2009-09-30,2009-11-28,11463,11463,train
Amazon-Movies,73,2009-11-29,2010-01-27,13277,13277,train
Amazon-Movies,74,2010-01-28,2010-03-28,13402,13402,train
Amazon-Movies,75,2010-03-29,2010-05-27,10567,10567,train
Amazon-Movies,76,2010-05-28,2010-07-26,10921,10921,train
Amazon-Movies,77,2010-07-27,2010-09-24,10411,10411,train
Amazon-Movies,78,2010-09-25,2010-11-23,10733,10733,train
Amazon-Movies,79,2010-11-24,2011-01-22,12051,12051,train
Amazon-Movies,80,2011-01-23,2011-03-23,12237,12237,train
Amazon-Movies,81,2011-03-24,2011-05-22,11369,11369,train
Amazon-Movies,82,2011-05-23,2011-07-21,11526,11526,train
Amazon-Movies,83,2011-07-22,2011-09-19,12766,12766,train
Amazon-Movies,84,2011-09-20,2011-11-18,13441,13441,train
Amazon-Movies,85,2011-11-19,2012-01-17,16937,16937,train
Amazon-Movies,86,2012-01-18,2012-03-17,15295,15295,train
Amazon-Movies,87,2012-03-18,2012-05-16,15318,15318,train
Amazon-Movies,88,2012-05-17,2012-07-15,14973,14973,train
Amazon-Movies,89,2012-07-16,2012-09-13,15731,15731,train
Amazon-Movies,90,2012-09-14,2012-11-12,19223,19223,train
Amazon-Movies,91,2012-11-13,2013-01-11,54346,54346,train
Amazon-Movies,92,2013-01-12,2013-03-12,60514,60514,train
Amazon-Movies,93,2013-03-13,2013-05-11,56018,56018,train
Amazon-Movies,94,2013-05-12,2013-07-10,53530,53530,train
Amazon-Movies,95,2013-07-11,2013-09-08,54513,54513,train
Amazon-Movies,96,2013-09-09,2013-11-07,48080,48080,train
Amazon-Movies,97,2013-11-08,2014-01-06,64232,64232,train
Amazon-Movies,98,2014-01-07,2014-03-07,79239,79239,train
Amazon-Movies,99,2014-03-08,2014-05-06,69635,69635,train
Amazon-Movies,100,2014-05-07,2014-07-05,67952,67952,train
Amazon-Movies,101,2014-07-06,2014-09-03,110813,110813,train
Amazon-Movies,102,2014-09-04,2014-11-02,100910,100910,train
Amazon-Movies,103,2014-11-03,2015-01-01,128529,128529,train
Amazon-Movies,104,2015-01-02,2015-03-02,125753,125753,train
Amazon-Movies,105,2015-03-03,2015-04-01,47472,65045,val
Amazon-Movies,105,2015-04-02,2015-05-01,43155,62661,test
Amazon-Movies,106,2015-05-02,2015-06-30,112490,112490,after_eval
Amazon-Movies,107,2015-07-01,2015-08-29,114667,114667,after_eval
Amazon-Movies,108,2015-08-30,2015-10-28,110134,110134,after_eval
Amazon-Movies,109,2015-10-29,2015-12-27,86334,86334,after_eval
Amazon-Movies,110,2015-12-28,2016-02-25,102775,102775,after_eval
Amazon-Movies,111,2016-02-26,2016-04-25,97692,97692,after_eval
Amazon-Movies,112,2016-04-26,2016-06-24,118746,118746,after_eval
Amazon-Movies,113,2016-06-25,2016-08-23,99135,99135,after_eval
Amazon-Movies,114,2016-08-24,2016-10-22,98895,98895,after_eval
Amazon-Movies,115,2016-10-23,2016-12-21,82147,82147,after_eval
Amazon-Movies,116,2016-12-22,2017-02-19,90756,90756,after_eval
Amazon-Movies,117,2017-02-20,2017-04-20,44297,44297,after_eval
Amazon-Movies,118,2017-04-21,2017-06-19,36763,36763,after_eval
Amazon-Movies,119,2017-06-20,2017-08-18,35187,35187,after_eval
Amazon-Movies,120,2017-08-19,2017-10-17,34801,34801,after_eval
Amazon-Movies,121,2017-10-18,2017-12-16,29699,29699,after_eval
Amazon-Movies,122,2017-12-17,2018-02-14,31191,31191,after_eval
Amazon-Movies,123,2018-02-15,2018-04-15,36096,36096,after_eval
Amazon-Movies,124,2018-04-16,2018-06-14,22798,22798,after_eval
Amazon-Movies,125,2018-06-15,2018-08-13,6812,6812,after_eval
Amazon-Movies,126,2018-08-14,2018-10-12,949,949,after_eval
Douban-movie,0,2010-01-01,2010-03-02,315884,315884,train
Douban-movie,1,2010-03-02,2010-05-01,217039,217039,train
Douban-movie,2,2010-05-01,2010-06-30,173899,173899,train
Douban-movie,3,2010-06-30,2010-08-29,197205,197205,train
Douban-movie,4,2010-08-29,2010-10-28,174010,174010,train
Douban-movie,5,2010-10-28,2010-12-27,185868,185868,train
Douban-movie,6,2010-12-27,2011-02-25,193055,193055,train
Douban-movie,7,2011-02-25,2011-04-26,176209,176209,train
Douban-movie,8,2011-04-26,2011-06-25,174085,174085,train
Douban-movie,9,2011-06-25,2011-08-24,167319,167319,train
Douban-movie,10,2011-08-24,2011-10-23,132707,132707,train
Douban-movie,11,2011-10-23,2011-12-22,153366,153366,train
Douban-movie,12,2011-12-22,2012-02-20,188347,188347,train
Douban-movie,13,2012-02-20,2012-04-20,163012,163012,train
Douban-movie,14,2012-04-20,2012-06-19,152426,152426,train
Douban-movie,15,2012-06-19,2012-08-18,139508,139508,train
Douban-movie,16,2012-08-18,2012-10-17,136545,136545,train
Douban-movie,17,2012-10-17,2012-12-16,144197,144197,train
Douban-movie,18,2012-12-16,2013-02-14,154610,154610,train
Douban-movie,19,2013-02-14,2013-04-15,140263,140263,train
Douban-movie,20,2013-04-15,2013-06-14,144129,144129,train
Douban-movie,21,2013-06-14,2013-08-13,131203,131203,train
Douban-movie,22,2013-08-13,2013-10-12,118844,118844,train
Douban-movie,23,2013-10-12,2013-12-11,105194,105194,train
Douban-movie,24,2013-12-11,2014-02-09,131383,131383,train
Douban-movie,25,2014-02-09,2014-04-10,122583,122583,train
Douban-movie,26,2014-04-10,2014-06-09,133239,133239,train
Douban-movie,27,2014-06-09,2014-08-08,158944,158944,train
Douban-movie,28,2014-08-08,2014-10-07,155637,155637,train
Douban-movie,29,2014-10-07,2014-12-06,167324,167324,train
Douban-movie,30,2014-12-06,2015-01-05,80459,103834,val
Douban-movie,30,2015-01-05,2015-02-04,84269,120571,test
Douban-movie,31,2015-02-04,2015-04-05,200474,200474,after_eval
Douban-movie,32,2015-04-05,2015-06-04,175705,175705,after_eval
Douban-movie,33,2015-06-04,2015-08-03,196848,196848,after_eval
Douban-movie,34,2015-08-03,2015-10-02,176394,176394,after_eval
Douban-movie,35,2015-10-02,2015-12-01,185052,185052,after_eval
Douban-movie,36,2015-12-01,2016-01-30,208515,208515,after_eval
Douban-movie,37,2016-01-30,2016-03-30,181001,181001,after_eval
Douban-movie,38,2016-03-30,2016-05-29,158359,158359,after_eval
Douban-movie,39,2016-05-29,2016-07-28,164562,164562,after_eval
Douban-movie,40,2016-07-28,2016-09-26,164039,164039,after_eval
Douban-movie,41,2016-09-26,2016-11-25,157465,157465,after_eval
Douban-movie,42,2016-11-25,2017-01-24,182868,182868,after_eval
Douban-movie,43,2017-01-24,2017-03-25,140913,140913,after_eval
